Oficial,OCR
Daley Blind,Daley Blind
Damian,Damian
Dani Calvo,Dani Calvo
Dani Olmo,Dani Olmo
Dani Rodríguez,Dani Rodríguez
Danjuma,Danjuma
Darder,Darder
David Delgado,David Delgado
David López,David López
David Soria,David Soria
Davinchi,Davinchi
De Frutos,De Frutos
De Las Sias,De Las Sias
Dela,Dela
Dendoncker,Dendoncker
Denis Suárez,Denis Suárez
Diaby,Diaby
Diakhaby,Diakhaby
Diego Aguado,Diego Aguado
Diego Conde,Diego Conde
Diego López,Diego López
Dimitrievski,Dimitrievski
Djene,Djene
Dmitrovic,Dmitrovic
Eder Aller,Eder Aller
Edu Altozano,Edu Altozano
Edu Expósito,Edu Expósito
Egoitz M.I.,Egoitz M.I.
Ejaria,Ejaria
Ejuke,Ejuke
El Hilali,El Hilali
El-Abdellaoui,El-Abdellaoui
Elgezabal,Elgezabal
Endrick,Endrick
Eric,Eric
Esquivel,Esquivel
Etta Eyong,Etta Eyong
Ez Abde,Ez Abde
F. Mendy,F. Mendy
F. Viñas,F. Viñas
Febas,Febas
Fermín,Fermín
Ferran,Ferran
Ferrer,Ferrer
Folgado,Folgado
Fornals,Fornals
Fortea,Fortea
Foulquier,Foulquier
Foyth,Foyth
Fraga,Fraga
Fran Beltrán,Fran Beltrán
Fran García,Fran García
Fran González,Fran González
Fran Pérez,Fran Pérez
Franco Cervi,Franco Cervi
Francés,Francés
Félix,Félix
Gavi,Gavi
Gayá,Gayá
Gazzaniga,Gazzaniga
Gerard,Gerard
Gerard Martín,Gerard Martín
Germán,Germán
Gibi,Gibi
Giuliano,Giuliano
Gonzalo,Gonzalo
Gorosabel,Gorosabel
Gorrotxa,Gorrotxa
Goti,Goti
Grady Diangana,Grady Diangana
Griezmann,Griezmann
Gudelj,Gudelj
Guedes,Guedes
Guevara,Guevara
Gueye,Gueye
Guille Fernández,Guille Fernández
Gumbau,Gumbau
Guridi,Guridi
H. Rincón,H. Rincón
Hancko,Hancko
Hassan,Hassan
Herrando,Herrando
Herrera,Herrera
Hugo Alvarez,Hugo Alvarez
Hugo Duro,Hugo Duro
Hugo Lopez,Hugo Lopez
Hugo Sotelo,Hugo Sotelo
Huijsen,Huijsen
Huseini,Huseini
Héctor Fort,Héctor Fort
Ibañez,Ibañez
Ibon Sánchez,Ibon Sánchez
Iker Losada,Iker Losada
Iker Muñoz,Iker Muñoz
Ilaix Moriba,Ilaix Moriba
Ilic,Ilic
Ilyas,Ilyas
Isaac,Isaac
Isco,Isco
Isi,Isi
Ismael,Ismael
Iván,Iván
Iván Martín,Iván Martín
Iván Villar,Iván Villar
Iñaki Peña,Iñaki Peña
Iñaki Williams,Iñaki Williams
J. Benito,J. Benito
J. Ives Valou,J. Ives Valou
J. Mojica,J. Mojica
J. Musso,J. Musso
J. Vertrouwd,J. Vertrouwd
J. Vázquez,J. Vázquez
Jan Virgili,Jan Virgili
Jano,Jano
Januzaj,Januzaj
Jauregizar,Jauregizar
Javi Galán,Javi Galán
Javi Guerra,Javi Guerra
Javi H.,Javi H.
Javi Llabrés,Javi Llabrés
Javi Muñoz,Javi Muñoz
Javi Navarro,Javi Navarro
Javi Rueda,Javi Rueda
Javi Serrano,Javi Serrano
Jeremy Toljan,Jeremy Toljan
Jhon Solis,Jhon Solis
Joan García,Joan García
Joan Ruiz,Joan Ruiz
Joel Roca,Joel Roca
Jofre,Jofre
John C.,John C.
Johnny,Johnny
Jon De Luis,Jon De Luis
Jon Martin,Jon Martin
Jonny Otto,Jonny Otto
Jordán,Jordán
Josan,Josan
Joselu,Joselu
Juan Carlos,Juan Carlos
Juan Cruz,Juan Cruz
Juan Hernández,Juan Hernández
Juan Iglesias,Juan Iglesias
Juanlu,Juanlu
Juanmi,Juanmi
Juanpe Gil,Juanpe Gil
Julián Alvarez,Julián Alvarez
Junior,Junior
Júnior R.,Júnior R.
Kamara,Kamara
Kambwala,Kambwala
Karrikaburu,Karrikaburu
Kike Barja,Kike Barja
Kike García,Kike García
Kike Salas,Kike Salas
Kiko F.,Kiko F.
Kochen,Kochen
Koke,Koke
Koleosho,Koleosho
Kostis,Kostis
Kounde,Kounde
L. Pinillos,L. Pinillos
Lamine Gueye,Lamine Gueye
Lamine Yamal,Lamine Yamal
Lass,Lass
Le Normand,Le Normand
Lebarbier,Lebarbier
Lejeune,Lejeune
Lemar,Lemar
Lenglet,Lenglet
Leo Román,Leo Román
Letacek,Letacek
Lewandowski,Lewandowski
Livakovic,Livakovic
Llorente,Llorente
Lo Celso,Lo Celso
Lucas,Lucas
Lucas Beltrán,Lucas Beltrán
Lucas Boyé,Lucas Boyé
Lucas Laso,Lucas Laso
Lucas Núñez,Lucas Núñez
Luengo,Luengo
Luiz Felipe,Luiz Felipe
Lunin,Lunin
Léo Pétrot,Léo Pétrot
M. Aguado,M. Aguado
M. Casadó,M. Casadó
M. Dituro,M. Dituro
M. Narváez,M. Narváez
M. Román,M. Román
M. Santos,M. Santos
Maffeo,Maffeo
Manu Bueno,Manu Bueno
Manu G.,Manu G.
Manu Sánchez,Manu Sánchez
Manuel Fernán...,Manuel Fernán...
Marc Bernal,Marc Bernal
Marc Jurado,Marc Jurado
Marc Pubill,Marc Pubill
Marc Roca,Marc Roca
Marc Vidal,Marc Vidal
Marcao,Marcao
Marco Esteban,Marco Esteban
Marcos Alonso,Marcos Alonso
Marcos Llorente,Marcos Llorente
Mariano,Mariano
Mario Martín,Mario Martín
Marrero,Marrero
Martim Neto,Martim Neto
Marín,Marín
Mascarell,Mascarell
Mateo Joseph,Mateo Joseph
Matías Moreno,Matías Moreno
Mauro,Mauro
Mawuli,Mawuli
Mbappé,Mbappé
Mendy,Mendy
Mestre,Mestre
Miguel Rubio,Miguel Rubio
Miguel Sierra,Miguel Sierra
Mikautadze,Mikautadze
Moi Gómez,Moi Gómez
Moldovan,Moldovan
Molina,Molina
Moncayola,Moncayola
Montero,Montero
Morcillo,Morcillo
Morey,Morey
Morlanes,Morlanes
Mouriño,Mouriño
Moussa Diarra,Moussa Diarra
Muriqi,Muriqi
Mykyta,Mykyta
N. Mendy,N. Mendy
Nacho Perez,Nacho Perez
Nacho Vidal,Nacho Vidal
Natan,Natan
Navarro,Navarro
Nelson Deossa,Nelson Deossa
Neyou,Neyou
Nianzou,Nianzou
Nico Gonzalez,Nico Gonzalez
Nico Serrano,Nico Serrano
Nil,Nil
Nordin Al-Lal,Nordin Al-Lal
Nteka,Nteka
Nyland,Nyland
Nyom,Nyom
O. Mingueza,O. Mingueza
O. Rey,O. Rey
O. Sancet,O. Sancet
Oblak,Oblak
Odriozola,Odriozola
Olaizola,Olaizola
Oluwaseyi,Oluwaseyi
Omar Falah,Omar Falah
Oskarsson,Oskarsson
Oso,Oso
Otorbi,Otorbi
Ounahi,Ounahi
Oyarzabal,Oyarzabal
P. Martínez,P. Martínez
P. Meixus,P. Meixus
Pablo Agudín,Pablo Agudín
Pablo Durán,Pablo Durán
Pablo García,Pablo García
Pablo Torre,Pablo Torre
Pacha,Pacha
Pacheco,Pacheco
Paco Cortes,Paco Cortes
Padilla,Padilla
Pampin,Pampin
Panach,Panach
Pathé I. Ciss,Pathé I. Ciss
Pau López,Pau López
Pau Navarro,Pau Navarro
Pedri,Pedri
Pedro Díaz,Pedro Díaz
Pedroarena,Pedroarena
Pedrosa,Pedrosa
Pepe,Pepe
Pepelu,Pepelu
Pere Milla,Pere Milla
Pickel,Pickel
Pol Arnau,Pol Arnau
Pol Lozano,Pol Lozano
Portu,Portu
Protesoni,Protesoni
Puado,Puado
R. Araujo,R. Araujo
R. Arroyo,R. Arroyo
R. Brugué,R. Brugué
R. Chasco,R. Chasco
R. Mendoza,R. Mendoza
R.P. Bigas,R.P. Bigas
Raba,Raba
Rafa Marín,Rafa Marín
Rafa Mir,Rafa Mir
Rafa Romero,Rafa Romero
Ramazani,Ramazani
Ramón Martínez,Ramón Martínez
Raphinha,Raphinha
Rashford,Rashford
Raspadori,Raspadori
Ratiu,Ratiu
Rayane,Rayane
Raíllo,Raíllo
Raúl,Raúl
Raúl Fernández,Raúl Fernández
Redondo,Redondo
Rego,Rego
Remiro,Remiro
Renato Veiga,Renato Veiga
Rico,Rico
Riedel,Riedel
Rioja,Rioja
Riquelme,Riquelme
Risco,Risco
Ristic,Ristic
Rodrygo,Rodrygo
Rodríguez,Rodríguez
Rondón,Rondón
Roson,Roson
Ruben,Ruben
Rubo,Rubo
Rubén García,Rubén García
Rubén S.,Rubén S.
Ruggeri,Ruggeri
Ryan,Ryan
S. Cazorla,S. Cazorla
Sadiq,Sadiq
Salguero,Salguero
Salhi,Salhi
Samu Costa,Samu Costa
Santamaría,Santamaría
Sarasa,Sarasa
Sergio Gómez,Sergio Gómez
Sergio Herrera,Sergio Herrera
Sibo,Sibo
Sierra,Sierra
Sivera,Sivera
Solomon,Solomon
Sow,Sow
Stamatakis,Stamatakis
Starfelt,Starfelt
Stuani,Stuani
Suazo,Suazo
Sucic,Sucic
Swiderski,Swiderski
Szczesny,szczesny
Taufik Seidu,Taufik Seidu
Tchouaméni,Tchouaméni
Tenaglia,Tenaglia
Ter Stegen,Ter Stegen
Thiago Pitarch,Thiago Pitarch
Thierry Correia,Thierry Correia
Thomas Partey,Thomas Partey
Toni Fernández,Toni Fernández
Toni Lato,Toni Lato
Torró,Torró
Trejo,Trejo
Trent,Trent
Tristán,Tristán
Tsygankov,Tsygankov
Turrientes,Turrientes
Tárrega,Tárrega
Ugrinic,Ugrinic
Unai G.,Unai G.
Unai Lopez,Unai Lopez
Unai Simón,Unai Simón
Urko,Urko
Valentín Gómez,Valentín Gómez
Valjent,Valjent
Valverde,Valverde
Van De Beek,Van De Beek
Vanat,Vanat
Vargas,Vargas
Vencedor,Vencedor
Vesga,Vesga
Vilaplana,Vilaplana
Vini Jr.,Vini Jr.
Vitor Reis,Vitor Reis
Vivian,Vivian
Vlachodimos,Vlachodimos
Williot,Williot
Witsel,Witsel
Xavi Espart,Xavi Espart
Y. Santiago,Y. Santiago
Yassin T.,Yassin T.
Yoel Lago,Yoel Lago
Youssef,Youssef
Yuri,Yuri
Zakharyan,Zakharyan
Zubeldia,Zubeldia
Á. Carreras,Á. Carreras
Á. Ortiz,Á. Ortiz
Á. Valles,Á. Valles
Álex Baena,Álex Baena
Álex Balde,Álex Balde
Álex Sancris,Álex Sancris
Álvaro,Álvaro
Álvaro García,Álvaro García
Álvaro Nuñez,Álvaro Nuñez
Óscar Marcos,Óscar Marcos
Óscar Valentín,Óscar Valentín
A. J. Morales,A. J Morales
Alan Matturo,Alan Matturro
Alemao,Alemo
Antonio Sánchez,UF Antonio Sánchez
Antony,Nud UEN Antony
Arambarri,Neai Delis Arambarri
Aramburu,U Aramburu
Arda Güler,Arda Gler
Areso,Areso Gtc Clup
Cardona,Payu Cardona
Colobatto,Colombatto
Cucho,Neai Cucho
Cuéllar,NeaI Cuéllar
Cömert,Cmert
David Carmo,UEN David Carmo
David Costas,Neai UVichu David Costas
De Galarreta,De Galarreta Clup
Dolan,HUD Espanyor ae B. Puk Dolan
Domenech,HCD Espanyor ae B. Domenech
Domingos Duar...,Domingos Duar
Dro,Gelaie UT Dro
E. Bailly,UEN E. Bailly
E. Militao,Neai UVichu E. Milito
F. Calero,F.Calero
F. De Jong,F.De Jong
F. Garcés,F.Garcés
F. Mastantuono,F.Mastantuono
Ferran Jutglà,Ferran Jutgl
German V.,German
Guruzeta,Guruzeta Clup
H. González,H.González
I. Akhomach,Akhomach
I. Lekue,Clup
I. Romero,Romero
Iago Aspas,lago Aspas
Ionut Radu,lonut Radu
Izeta,Izeta Clup
J.M. Giménez,J. M. Giménez
Javi Lopéz,Javi López
Javi Rodriguez,Javi Rodríguez
Koyalipou,FU Barcelona Koyalipou DE
Krapyvtsov,Levance UD Krapyvtsov
Kubo,Fu Kubo
Kumbulla,Neai Juuieuau UEN Kumbulla
L. Milla,NUD iviailuiua L. Milla
Laporte,Laporte Clup
Maroan,Maroan Clup
Martin Krug,Martin Krug Uuuti
Monreal,Monreal Clup
Nico Williams,Nico Williams Gtc Clup
Nikola Maras,Nikola Mara
Olasagasti,Olasagasti Uuuti
P. Campos,P.Campos
Papa,Vaienyia Papa
Paredes,Paredes Clp
Parejo,Uiun Parejo
Pau Cubrasí,Payu Pau Cubarsí
Peque,Peque DE
Prados,Prados Clup
R. Terrats,B. Terrats
Roberto,Roberto DI
Rüdiger,Rdiger
Salias,Salinas
Selton,Selton Clup
Sørloth,Srloth
T. Martinez,T.Martinez
V. Chust,V Chust
V. Parada,V Parada
V. Rosier,V Rosier
Víctor G.,Víctor G.
Víctor Muñoz,Víctor Muñoz
